,name,priority,total_observations,total_observations_recent,exoclock_observations,exoclock_observations_recent,etd_observations,etd_observations_recent,space_observations,space_observations_recent,literature_midtimes,literature_midtimes_recent,current_oc_min,discovery_ref,depth_r_mmag,duration_hours,ephem_mid_time,ephem_mid_time_e1,ephem_mid_time_e2,ephem_mid_time_format,ephem_mid_time_units,ephem_period,ephem_period_e1,ephem_period_e2,ephem_period_units,ephem_parameters_ref,eccentricity,eccentricity_e1,eccentricity_e2,inclination,inclination_adjusted,inclination_e1,inclination_e2,inclination_units,periastron,periastron_e1,periastron_e2,periastron_units,rp_over_rs,rp_over_rs_adjusted,rp_over_rs_e1,rp_over_rs_e2,rp_over_rs_units,sma_over_rs,sma_over_rs_adjusted,sma_over_rs_e1,sma_over_rs_e2,sma_over_rs_units,transit_parameters_ref,kepler_rp_over_rs,kepler_rp_over_rs_e1,kepler_rp_over_rs_e2,tess_rp_over_rs,tess_rp_over_rs_e1,tess_rp_over_rs_e2,star,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,logg,logg_e1,logg_e2,logg_units,meta,meta_e1,meta_e2,meta_units,teff,teff_e1,teff_e2,teff_units,ldc_parameters_ref,min_telescope_inches,min_telescope_inches_hf,expected_transit_snr_tess,t0_bjd_tdb,t0_unc,period_days,period_unc
Kepler-854b,Kepler-854b,low,567,9,13,9,0,0,554,0,0,0,-0.26,2016ApJ...822...86M,15.93,3.9,2455668.279705,2.2e-05,-2.2e-05,BJD_TDB,Days,2.14463318,1.1e-07,-1.1e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,79.0,True,1.2,-0.9,Degrees,0.0,0.0,-0.0,Degrees,0.119,False,0.003,-0.003,None,3.73,True,0.2,-0.15,None,2016ApJ...822...86M,0.119466,2.6e-05,-2.6e-05,0.119466,0.0011,-0.0011,Kepler-854,19:33:24.3099,+43:08:04.832,13.644,13.283,13.504,4.29,0.11,-0.23,cm/s2,0.04,0.13,-0.15,dex Fe/H or M/H,6179.0,110.4,-142.2,Kelvin,2016ApJ...822...86M,8.73,8.73,17.39,2455668.279705,2.2e-05,2.14463318,1.1e-07
L98-59b,L98-59b,medium,21,0,0,0,0,0,21,0,0,0,0.14,2019AJ....158...32K,0.76,0.97,2458828.05812,0.00024,-0.00024,BJD_TDB,Days,2.2531154,1.7e-06,-1.7e-06,Days,2022arXiv220909673K,0.103,0.117,-0.045,87.71,False,1.16,-0.44,Degrees,192.0,70.0,-155.0,Degrees,0.02512,False,0.00072,-0.00072,None,15.0,False,1.4,-1.0,None,2021A&A...653A..41D,0.0,0.0,-0.0,0.0,0.00085,-0.00085,L98-59,08:18:07.6215,-68:18:46.799,11.685,11.294,10.598,4.945,0.059,-0.058,cm/s2,-0.5,0.5,-0.5,dex Fe/H or M/H,3367.0,150.0,-150.0,Kelvin,2019AJ....158...32K,106.46,92.2,3.48,2458828.05812,0.00024,2.2531154,1.7e-06
L98-59c,L98-59c,medium,84,0,0,0,0,0,84,0,0,0,-0.64,2019AJ....158...32K,1.93,1.28,2458902.42094,0.00014,-0.00014,BJD_TDB,Days,3.6906716,1.5e-06,-1.5e-06,Days,2022arXiv220909673K,0.103,0.045,-0.058,88.11,False,0.36,-0.16,Degrees,261.0,20.0,-10.0,Degrees,0.04088,False,0.00068,-0.00068,None,19.0,False,1.2,-0.8,None,2021A&A...653A..41D,0.0,0.0,-0.0,0.0,0.00031,-0.00031,L98-59,08:18:07.6215,-68:18:46.799,11.685,11.294,10.598,4.946,0.042,-0.042,cm/s2,-0.5,0.5,-0.5,dex Fe/H or M/H,3367.0,150.0,-150.0,Kelvin,2019AJ....158...32K,38.37,33.23,10.32,2458902.42094,0.00014,3.6906716,1.5e-06
L98-59d,L98-59d,medium,43,0,0,0,0,0,43,0,0,0,0.79,2019AJ....158...32K,1.77,0.87,2458847.03715,0.00025,-0.00025,BJD_TDB,Days,7.450737,5.4e-06,-5.4e-06,Days,2022arXiv220909673K,0.074,0.057,-0.046,88.449,False,0.058,-0.111,Degrees,180.0,27.0,-50.0,Degrees,0.0448,False,0.0011,-0.0011,None,33.7,False,1.9,-1.7,None,2021A&A...653A..41D,0.0,0.0,-0.0,0.0,0.00063,-0.00063,L98-59,08:18:07.6215,-68:18:46.799,11.685,11.294,10.598,4.946,0.042,-0.042,cm/s2,-0.5,0.5,-0.5,dex Fe/H or M/H,3367.0,150.0,-150.0,Kelvin,2019AJ....158...32K,47.47,41.11,8.61,2458847.03715,0.00025,7.450737,5.4e-06
LHS1140b,LHS1140b,high,5,0,0,0,0,0,2,0,3,0,0.0,2017Natur.544..333D,7.47,2.1,2458103.084207,4.3e-05,-4.3e-05,BJD_TDB,Days,24.73721,1.7e-05,-1.7e-05,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.89,False,0.05,-0.03,Degrees,0.0,0.0,-0.0,Degrees,0.0739,False,8e-05,-8e-05,None,95.3,False,1.1,-1.1,None,2019AJ....157...32M,0.0,0.0,-0.0,0.0,0.0022,-0.0022,LHS1140,00:44:59.3314,-15:16:17.543,14.15,13.801,12.671,5.04,0.07,-0.07,cm/s2,-0.24,0.14,-0.14,dex Fe/H or M/H,3131.0,100.0,-100.0,Kelvin,2017Natur.544..333D,19.59,16.96,15.7,2458103.084207,4.3e-05,24.73721,1.7e-05
LHS1140c,LHS1140c,high,9,0,0,0,0,0,8,0,1,0,0.0,2019AJ....157...32M,4.1,1.15,2458226.843969,1.8e-05,-1.8e-05,BJD_TDB,Days,3.7779329,2.8e-06,-2.8e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.92,False,0.06,-0.09,Degrees,0.0,0.0,-0.0,Degrees,0.05486,False,0.00013,-0.00013,None,26.57,False,0.05,-0.05,None,2019AJ....157...32M,0.0,0.0,-0.0,0.0,0.0025,-0.0025,LHS1140,00:44:59.3314,-15:16:17.543,14.15,13.801,12.671,5.05,0.03,-0.03,cm/s2,-0.24,0.1,-0.1,dex Fe/H or M/H,3216.0,39.0,-39.0,Kelvin,2019AJ....157...32M,42.21,36.55,6.39,2458226.843969,1.8e-05,3.7779329,2.8e-06
LHS1478b,LHS1478b,high,1,1,1,1,0,0,0,0,0,0,-4.47,2021A&A...649A.144S,2.42,0.71,2458786.75425,0.00042,-0.00042,BJD_TDB,Days,1.9495378,4e-06,-4e-06,Days,2021A&A...649A.144S,0.0,0.0,-0.0,87.452,False,0.052,-0.048,Degrees,0.0,0.0,-0.0,Degrees,0.0462,False,0.0011,-0.0011,None,16.119,False,0.088,-0.094,None,2021A&A...649A.144S,0.0,0.0,-0.0,0.0,0.0,-0.0,LHS1478,02:57:18.2591,+76:33:11.250,13.304,12.5,12.26,4.87,0.06,-0.06,cm/s2,-0.13,0.19,-0.19,dex Fe/H or M/H,3381.0,54.0,-54.0,Kelvin,2021A&A...649A.144S,53.42,46.26,3.77,2458786.75425,0.00042,1.9495378,4e-06
LHS1678b,LHS1678b,high,0,0,0,0,0,0,0,0,0,0,0.0,2021arXiv211012079S,0.48,0.77,2459121.1688,0.0052,-0.0052,BJD_TDB,Days,0.8602322,6.8e-06,-6.8e-06,Days,2021arXiv211012079S,0.0,0.0,-0.0,87.55,False,1.6,-1.43,Degrees,0.0,0.0,-0.0,Degrees,0.0192,False,0.001,-0.001,None,8.16,False,0.29,-0.3,None,2021arXiv211012079S,0.0,0.0,-0.0,0.0,0.0,-0.0,LHS1678,04:32:42.6349,-39:47:12.150,12.482,12.131,11.54,4.932,0.039,-0.039,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3490.0,50.0,-50.0,Kelvin,2021arXiv211012079S,232.43,201.29,1.1,2459121.1688,0.0052,0.8602322,6.8e-06
LHS1678c,LHS1678c,high,0,0,0,0,0,0,0,0,0,0,0.0,2021arXiv211012079S,0.96,1.27,2459120.3606,0.004,-0.004,BJD_TDB,Days,3.694247,2.4e-06,-2.4e-06,Days,2021arXiv211012079S,0.0,0.0,-0.0,89.09,False,0.57,-0.46,Degrees,0.0,0.0,-0.0,Degrees,0.0272,False,0.0015,-0.0015,None,21.56,False,0.76,-0.79,None,2021arXiv211012079S,0.0,0.0,-0.0,0.0,0.0,-0.0,LHS1678,04:32:42.6349,-39:47:12.150,12.482,12.131,11.54,4.932,0.039,-0.039,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3490.0,50.0,-50.0,Kelvin,2021arXiv211012079S,98.34,85.17,2.83,2459120.3606,0.004,3.694247,2.4e-06
LHS3844b,LHS3844b,high,46,0,0,0,0,0,46,0,0,0,0.0,2019ApJ...871L..24V,5.6,0.52,2458828.93037,0.00025,-0.00025,BJD_TDB,Days,0.46292964,3.3e-07,-3.3e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.5,False,0.5,-0.5,Degrees,0.0,0.0,-0.0,Degrees,0.0635,False,0.0009,-0.0009,None,7.11,False,0.03,-0.03,None,2019ApJ...871L..24V,0.0,0.0,-0.0,0.0,0.0013,-0.0013,LHS3844,22:41:58.1173,-69:10:08.320,15.26,13.74,13.393,5.06,0.01,-0.01,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3036.0,77.0,-77.0,Kelvin,2019ApJ...871L..24V,40.21,34.82,3.85,2458828.93037,0.00025,0.46292964,3.3e-07
LP714-47b,LP714-47b,medium,14,2,3,2,0,0,11,0,0,0,1.32,2020A&A...644A.127D,6.1,1.51,2458774.70336,0.00024,-0.00024,BJD_TDB,Days,4.0520345,2.6e-06,-2.6e-06,Days,2022arXiv220909673K,0.04,0.02,-0.02,87.3,False,0.2,-0.2,Degrees,219.0,19.0,-19.0,Degrees,0.0751,False,0.0009,-0.0009,None,15.9,False,1.0,-0.7,None,2020A&A...644A.127D,0.0,0.0,-0.0,0.0,0.00084,-0.00084,LP714-47,04:16:45.6005,-12:05:02.454,12.492,12.104,11.728,4.64,0.04,-0.04,cm/s2,0.41,0.16,-0.16,dex Fe/H or M/H,3950.0,51.0,-51.0,Kelvin,2020A&A...644A.127D,14.62,12.66,17.55,2458774.70336,0.00024,4.0520345,2.6e-06
LP791-18b,LP791-18b,high,1,0,0,0,0,0,1,0,0,0,0.0,2019ApJ...883L..16C,4.7,0.6,2458645.94405,0.00066,-0.00066,BJD_TDB,Days,0.948005,5.8e-06,-5.8e-06,Days,2019ApJ...883L..16C,0.0,0.0,-0.0,87.3,False,2.0,-4.9,Degrees,0.0,0.0,-0.0,Degrees,0.0604,False,0.0028,-0.0028,None,11.1,False,2.4,-4.4,None,2019ApJ...883L..16C,0.0,0.0,-0.0,0.0,0.015,-0.015,LP791-18,11:02:45.9543,-16:24:22.285,16.91,16.267,15.072,5.12,0.09,-0.09,cm/s2,-0.09,0.19,-0.19,dex Fe/H or M/H,2960.0,55.0,-55.0,Kelvin,2019ApJ...883L..16C,125.97,109.09,1.18,2458645.94405,0.00066,0.948005,5.8e-06
LP791-18c,LP791-18c,medium,8,0,0,0,0,0,8,0,0,0,0.02,2019ApJ...883L..16C,21.45,1.21,2458905.78256,0.0002,-0.0002,BJD_TDB,Days,4.9899054,2.6e-06,-2.6e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.55,False,0.32,-0.5,Degrees,0.0,0.0,-0.0,Degrees,0.1238,False,0.0022,-0.0022,None,34.5,False,2.0,-3.7,None,2019ApJ...883L..16C,0.0,0.0,-0.0,0.0,0.0036,-0.0036,LP791-18,11:02:45.9543,-16:24:22.285,16.91,16.267,15.072,5.12,0.09,-0.09,cm/s2,-0.09,0.19,-0.19,dex Fe/H or M/H,2960.0,55.0,-55.0,Kelvin,2019ApJ...883L..16C,28.68,28.68,7.33,2458905.78256,0.0002,4.9899054,2.6e-06
LTT1445Ab,LTT1445Ab,high,8,0,0,0,0,0,8,0,0,0,0.0,2019AJ....158..152W,2.75,1.53,2458905.71556,0.00071,-0.00071,BJD_TDB,Days,5.358777,1.1e-05,-1.1e-05,Days,2022arXiv220909673K,0.19,0.35,-0.14,89.4,False,0.41,-0.46,Degrees,221.0,120.0,-76.0,Degrees,0.0458,False,0.0012,-0.0012,None,29.6,False,2.6,-2.5,None,2019AJ....158..152W,0.0,0.0,-0.0,0.0,0.001,-0.001,LTT1445A,03:01:51.3928,-16:35:36.022,10.529,9.364,10.047,4.97,0.06,-0.07,cm/s2,-0.34,0.08,-0.08,dex Fe/H or M/H,3337.0,150.0,-150.0,Kelvin,2019AJ....158..152W,16.85,14.59,20.38,2458905.71556,0.00071,5.358777,1.1e-05
LTT1445Ac,LTT1445Ac,high,0,0,0,0,0,0,0,0,0,0,0.0,2022AJ....163..168W,1.02,0.42,2458412.58159,0.00059,-0.00059,BJD_TDB,Days,3.1239035,3.4e-06,-3.4e-06,Days,2022AJ....163..168W,0.0,0.0,0.0,87.43,False,0.18,-0.29,Degrees,0.0,0.0,0.0,Degrees,0.0396,False,0.0018,-0.0018,None,21.56,False,0.78,-0.82,None,2022AJ....163..168W,0.0,0.0,-0.0,0.0,0.0,-0.0,LTT1445A,03:01:51.3928,-16:35:36.022,10.529,9.364,10.047,4.989996382473231,0.03624800431613585,-0.03624800431613585,cm/s2,-0.34,0.09,-0.09,dex Fe/H or M/H,3340.0,150.0,-150.0,Kelvin,2022AJ....163..168W,71.72,62.11,5.01,2458412.58159,0.00059,3.1239035,3.4e-06
LTT3780b,LTT3780b,alert,2,0,0,0,0,0,2,0,0,0,-93.16,2020AJ....160....3C,1.42,0.81,2458543.9115,0.0011,-0.0011,BJD_TDB,Days,0.768448,5.5e-05,-5.5e-05,Days,2020AJ....160....3C,0.0,0.0,-0.0,87.1,False,1.8,-1.7,Degrees,0.0,0.0,-0.0,Degrees,0.033,False,0.0014,-0.0014,None,7.03,False,0.23,-0.21,None,2020AJ....160....3C,0.0,0.0,-0.0,0.0,0.0044,-0.0044,LTT3780,10:18:35.1370,-11:43:00.241,13.14,12.84,11.846,4.9,0.03,-0.03,cm/s2,0.28,0.11,-0.13,dex Fe/H or M/H,3331.0,157.0,-157.0,Kelvin,2020AJ....160....3C,97.13,84.12,2.99,2458543.9115,0.0011,0.768448,5.5e-05
LTT3780c,LTT3780c,high,3,0,0,0,0,0,3,0,0,0,-0.08,2020AJ....160....3C,3.63,1.39,2458608.11003,0.00045,-0.00045,BJD_TDB,Days,12.252208,2.7e-05,-2.7e-05,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.18,False,0.47,-0.22,Degrees,0.0,0.0,-0.0,Degrees,0.057,False,0.0035,-0.0035,None,51.2,True,0.9,-0.9,None,2020AJ....160....3C,0.0,0.0,-0.0,0.0,0.0032,-0.0032,LTT3780,10:18:35.1370,-11:43:00.241,13.14,12.84,11.846,4.9,0.03,-0.03,cm/s2,0.28,0.11,-0.13,dex Fe/H or M/H,3331.0,157.0,-157.0,Kelvin,2020AJ....160....3C,31.89,27.62,10.55,2458608.11003,0.00045,12.252208,2.7e-05
LTT9779b,LTT9779b,high,58,0,0,0,0,0,58,0,0,0,0.0,2020NatAs...4.1148J,1.81,0.82,2458724.90098,0.00013,-0.00013,BJD_TDB,Days,0.79206425,2.8e-07,-2.8e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,76.39,False,0.43,-0.43,Degrees,0.0,0.0,-0.0,Degrees,0.0455,False,0.0022,-0.0022,None,3.877,False,0.09,-0.091,None,2020NatAs...4.1148J,0.0,0.0,-0.0,0.0,0.00047,-0.00047,LTT9779,23:54:40.2073,-37:37:40.523,9.76,9.36,9.6,4.35,0.16,-0.12,cm/s2,0.27,0.03,-0.03,dex Fe/H or M/H,5443.0,14.0,-13.0,Kelvin,2020NatAs...4.1148J,31.22,27.03,10.13,2458724.90098,0.00013,0.79206425,2.8e-07
MASCARA-4b,MASCARA-4b,medium,19,2,2,2,0,0,16,0,1,0,-0.003,2020A&A...635A..60D,8.11,3.88,2459321.97544,6.3e-05,-6.3e-05,BJD_TDB,Days,2.8240759,5.3e-06,-5.3e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.5,False,0.01,-0.01,Degrees,0.0,0.0,-0.0,Degrees,0.08,False,0.004,-0.004,None,5.97,True,0.03,-0.03,None,2020A&A...635A..60D,0.0,0.0,-0.0,0.0,9.1e-05,-9.1e-05,MASCARA-4,09:50:19.2005,-66:06:49.892,8.19,8.088,8.174,4.1,0.05,-0.05,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,7800.0,200.0,-200.0,Kelvin,2020A&A...635A..60D,5.0,5.0,145.75,2459321.97544,6.3e-05,2.8240759,5.3e-06
MASCARA-1b,MASCARA-1b,alert,10,10,10,10,0,0,0,0,0,0,-12.64,2017A&A...606A..73T,6.82,4.05,2457097.2788,0.002,-0.002,BJD_TDB,Days,2.14878,8e-06,-8e-06,Days,2017A&A...606A..73T,0.0,0.0,-0.0,87.0,False,2.0,-3.0,Degrees,0.0,0.0,-0.0,Degrees,0.0735,False,0.0007,-0.0007,None,4.3,True,0.03,-0.03,None,2017A&A...606A..73T,0.0,0.0,-0.0,0.0,0.0,-0.0,MASCARA-1,21:10:12.3723,+10:44:19.944,8.27,8.138,8.242,4.029,0.104,-0.097,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,7554.0,150.0,-150.0,Kelvin,2017A&A...606A..73T,5.0,5.0,124.26,2457097.2788,0.002,2.14878,8e-06
NGTS-1b,NGTS-1b,medium,37,1,3,1,0,0,33,0,1,0,4.71,2018MNRAS.475.4467B,22.8,1.2,2458586.32972,0.0004,-0.0004,BJD_TDB,Days,2.6473068,1.7e-06,-1.7e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,85.27,False,0.61,-0.73,Degrees,0.0,0.0,-0.0,Degrees,0.239,False,0.1,-0.1,None,12.2,False,0.7,-0.7,None,2018MNRAS.475.4467B,0.0,0.0,-0.0,0.0,0.0036,-0.0036,NGTS-1,05:30:51.4522,-36:37:50.896,15.57,15.36,14.866,4.71,0.23,-0.23,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3916.0,71.0,-63.0,Kelvin,2018MNRAS.475.4467B,19.56,19.56,7.64,2458586.32972,0.0004,2.6473068,1.7e-06
NGTS-2b,NGTS-2b,medium,11,2,6,2,0,0,4,0,1,0,-0.26,2018MNRAS.481.4960R,12.03,4.65,2459238.77448,0.00025,-0.00025,BJD_TDB,Days,4.511123,3.7e-06,-3.7e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.5,False,1.0,-1.2,Degrees,0.0,0.0,-0.0,Degrees,0.0962,False,0.0011,-0.0011,None,8.0,False,0.4,-0.4,None,2018MNRAS.481.4960R,0.0,0.0,-0.0,0.0,0.00049,-0.00049,NGTS-2,14:20:29.4890,-31:12:07.437,10.961,10.675,10.86,4.2,0.03,-0.06,cm/s2,-0.06,0.09,-0.09,dex Fe/H or M/H,6478.0,94.0,-89.0,Kelvin,2018MNRAS.481.4960R,5.0,5.0,68.93,2459238.77448,0.00025,4.511123,3.7e-06
NGTS-5b,NGTS-5b,low,4,4,4,4,0,0,0,0,0,0,3.74,2019A&A...625A.142E,29.27,2.2,2457740.35262,0.00026,-0.00026,BJD_TDB,Days,3.3569866,2.6e-06,-2.6e-06,Days,2019A&A...625A.142E,0.0,0.0,-0.0,86.6,False,0.2,-0.2,Degrees,0.0,0.0,-0.0,Degrees,0.1579,False,0.0016,-0.0016,None,11.11,False,0.32,-0.3,None,2019A&A...625A.142E,0.0,0.0,-0.0,0.0,0.0,-0.0,NGTS-5,14:44:13.9704,+05:36:19.417,13.77,13.6,13.526,4.52,0.04,-0.04,cm/s2,0.12,0.1,-0.1,dex Fe/H or M/H,4987.0,41.0,-41.0,Kelvin,2019A&A...625A.142E,9.79,9.79,25.13,2457740.35262,0.00026,3.3569866,2.6e-06
NGTS-6b,NGTS-6b,low,56,6,16,6,0,0,39,0,1,0,0.7,2019MNRAS.489.4125V,14.89,0.96,2458712.72373,0.00024,-0.00024,BJD_TDB,Days,0.8820585,3.3e-07,-3.3e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,78.23,False,0.26,-0.21,Degrees,0.0,0.0,-0.0,Degrees,0.18,False,0.01,-0.01,None,4.784,False,0.043,-0.048,None,2019MNRAS.489.4125V,0.0,0.0,-0.0,0.0,0.0032,-0.0032,NGTS-6,05:03:10.9028,-30:23:57.719,14.12,13.98,13.818,4.7,1.1,-0.7,cm/s2,0.11,0.09,-0.09,dex Fe/H or M/H,4730.0,44.0,-40.0,Kelvin,2019MNRAS.489.4125V,13.26,11.48,7.81,2458712.72373,0.00024,0.8820585,3.3e-07
NGTS-8b,NGTS-8b,alert,6,6,6,6,0,0,0,0,0,0,-18.19,2020MNRAS.491.2834C,16.88,2.61,2457500.17909,0.00072,-0.00072,BJD_TDB,Days,2.4997,1e-05,-1e-05,Days,2020MNRAS.491.2834C,0.0,0.0,-0.0,86.9,False,0.5,-0.5,Degrees,0.0,0.0,-0.0,Degrees,0.114,False,0.002,-0.002,None,7.6,False,0.18,-0.18,None,2020MNRAS.491.2834C,0.0,0.0,-0.0,0.0,0.0,-0.0,NGTS-8,21:55:54.1981,-14:04:06.225,13.72,13.53,13.495,4.41,0.03,-0.03,cm/s2,0.24,0.09,-0.09,dex Fe/H or M/H,5241.0,50.0,-50.0,Kelvin,2020MNRAS.491.2834C,9.54,9.54,15.74,2457500.17909,0.00072,2.4997,1e-05
NGTS-10b,NGTS-10b,low,8,8,8,8,0,0,0,0,0,0,-3.64,2020MNRAS.493..126M,27.81,1.09,2457518.84377,0.00017,-0.00017,BJD_TDB,Days,0.7668944,3e-07,-3e-07,Days,2020MNRAS.493..126M,0.0,0.0,0.0,78.95048202037923,False,74.92863695697145,73.57258255950151,Degrees,0.0,0.0,0.0,Degrees,0.1765,False,0.011,-0.011,None,4.447,False,0.123,-0.141,None,2020MNRAS.493..126M,0.0,0.0,-0.0,0.0,0.0,-0.0,NGTS-10,06:07:29.3376,-25:35:41.676,14.34,14.2,14.26,4.59,0.02,-0.02,cm/s2,-0.02,0.12,-0.12,dex Fe/H or M/H,4600.0,150.0,-150.0,Kelvin,2020MNRAS.493..126M,12.28,12.28,12.91,2457518.84377,0.00017,0.7668944,3e-07
NGTS-11b,NGTS-11b,high,1,0,0,0,0,0,1,0,0,0,0.0,2020ApJ...898L..11G,11.05,3.6,2458390.7043,0.0016,-0.0016,BJD_TDB,Days,35.45533,0.00019,-0.00019,Days,2020ApJ...898L..11G,0.13,0.1,-0.09,89.16,False,0.2,-0.29,Degrees,32.0,53.0,-76.0,Degrees,0.101,False,0.003,-0.003,None,56.0,True,3.1,-1.5,None,2020ApJ...898L..11G,0.0,0.0,-0.0,0.0,0.0024,-0.0024,NGTS-11,01:34:05.1360,-14:25:09.155,12.41,12.18,12.189,4.5,0.1,-0.1,cm/s2,0.22,0.08,-0.08,dex Fe/H or M/H,5050.0,80.0,-80.0,Kelvin,2020ApJ...898L..11G,6.77,6.03,29.52,2458390.7043,0.0016,35.45533,0.00019
NGTS-12b,NGTS-12b,alert,1,1,1,1,0,0,0,0,0,0,-22.72,2020MNRAS.499.3139B,6.1,5.89,2458572.8549,0.0017,-0.0017,BJD_TDB,Days,7.532806,4.8e-05,-4.8e-05,Days,2020MNRAS.499.3139B,0.0,0.0,-0.0,88.9,False,0.76,-0.76,Degrees,0.0,0.0,-0.0,Degrees,0.0678,False,0.0012,-0.0012,None,10.28,False,0.21,-0.31,None,2020MNRAS.499.3139B,0.0,0.0,-0.0,0.0,0.0,-0.0,NGTS-12,11:45:00.0094,-35:38:26.137,12.27,12.25,12.128,4.04,0.04,-0.04,cm/s2,-0.03,0.11,-0.11,dex Fe/H or M/H,5690.0,130.0,-130.0,Kelvin,2020MNRAS.499.3139B,11.61,10.06,19.7,2458572.8549,0.0017,7.532806,4.8e-05
NGTS-13b,NGTS-13b,high,1,1,1,1,0,0,0,0,0,0,2.61,2021A&A...647A.180G,5.71,5.28,2458572.8247,0.0018,-0.0018,BJD_TDB,Days,4.119027,2.3e-05,-2.3e-05,Days,2021A&A...647A.180G,0.086,0.034,-0.034,88.7,False,1.2,-1.2,Degrees,213.6,24.2,-24.2,Degrees,0.0656,False,0.003,-0.003,None,6.6,False,175.11,-6.38,None,2021A&A...647A.180G,0.0,0.0,-0.0,0.0,0.0,-0.0,NGTS-13,11:44:57.6835,-38:08:22.961,12.744,12.341,12.569,4.04,0.05,-0.05,cm/s2,0.25,0.17,-0.17,dex Fe/H or M/H,5819.0,73.0,-73.0,Kelvin,2021A&A...647A.180G,12.95,11.21,13.05,2458572.8247,0.0018,4.119027,2.3e-05
Qatar-1b,Qatar-1b,low,298,24,130,24,0,0,84,0,84,0,-0.016,2011MNRAS.417..709A,25.4,1.66,2457475.204489,3.8e-05,-3.8e-05,BJD_TDB,Days,1.420024443,4.9e-08,-4.9e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,84.08,False,0.16,-0.15,Degrees,0.0,0.0,-0.0,Degrees,0.1463,False,0.0006,-0.0006,None,6.25,False,0.07,-0.07,None,2017AJ....153...78C,0.0,0.0,-0.0,0.0,0.00029,-0.00029,Qatar-1,20:13:31.6176,+65:09:43.490,12.84,12.65,12.476,4.54,0.04,-0.04,cm/s2,0.2,0.1,-0.1,dex Fe/H or M/H,4861.0,125.0,-125.0,Kelvin,2011MNRAS.417..709A,7.02,7.02,39.19,2457475.204489,3.8e-05,1.420024443,4.9e-08
Qatar-2b,Qatar-2b,low,71,5,26,5,0,0,28,0,17,0,0.25,2012ApJ...750...84B,37.71,1.84,2457008.18278,3.2e-05,-3.2e-05,BJD_TDB,Days,1.337116562,5.9e-08,-5.9e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.99,False,0.2,-0.2,Degrees,0.0,0.0,-0.0,Degrees,0.16327,False,0.00019,-0.00019,None,6.45,True,0.05,-0.06,None,2017MNRAS.471..394M,0.161853,9.4e-05,-9.4e-05,0.161853,0.0,-0.0,Qatar-2,13:50:37.4100,-06:48:14.419,13.3,13.45,13.028,4.6,0.02,-0.02,cm/s2,0.02,0.08,-0.08,dex Fe/H or M/H,4645.0,50.0,-50.0,Kelvin,2012ApJ...750...84B,9.27,9.27,43.52,2457008.18278,3.2e-05,1.337116562,5.9e-08
Qatar-3b,Qatar-3b,low,12,5,11,5,0,0,0,0,1,0,1.0,2017AJ....153..200A,10.12,3.1,2457367.6584,0.0001,-0.0001,BJD_TDB,Days,2.50789979,7.5e-07,-7.5e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.8,False,2.0,-2.0,Degrees,0.0,0.0,-0.0,Degrees,0.0888,False,0.0018,-0.0018,None,6.4,False,0.6,-0.6,None,2017AJ....153..200A,0.0,0.0,-0.0,0.0,0.0,-0.0,Qatar-3,23:56:36.4831,+36:12:46.773,12.88,12.89,12.82,4.29,0.08,-0.08,cm/s2,-0.04,0.08,-0.08,dex Fe/H or M/H,6007.0,52.0,-52.0,Kelvin,2017AJ....153..200A,9.58,8.3,15.89,2457367.6584,0.0001,2.50789979,7.5e-07
Qatar-4b,Qatar-4b,low,62,14,59,14,0,0,0,0,3,0,-0.52,2017AJ....153..200A,25.42,2.14,2458919.58363,0.00015,-0.00015,BJD_TDB,Days,1.80536403,5.4e-07,-5.4e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.5,False,1.6,-1.6,Degrees,0.0,0.0,-0.0,Degrees,0.138,False,0.003,-0.003,None,7.1,False,0.5,-0.5,None,2017AJ....153..200A,0.0,0.0,-0.0,0.0,0.0,-0.0,Qatar-4,00:19:26.2245,+44:01:39.484,13.6,13.68,13.411,4.53,0.06,-0.06,cm/s2,0.1,0.08,-0.08,dex Fe/H or M/H,5215.0,50.0,-50.0,Kelvin,2017AJ....153..200A,10.08,10.08,22.68,2458919.58363,0.00015,1.80536403,5.4e-07
