,Planet,mu_T0,var_T0,mu_P,var_P,mu_dP_dE_ms,var_dP_dE_ms,Prob dP/dE < 0
44,WASP-93,-0.01707724317196501,4.8953677623360433e-08,2.732534924458441,4.895782831852456e-13,-0.8989749369801364,0.034589868748240084,0.9999993296613314
45,WASP-48,0.004024795429497726,3.259482422954547e-08,2.1436367503494203,7.31796985999531e-14,-0.37070638116227794,0.0045552376678772806,0.9999999801921742
46,Qatar-4,-0.0005440022150559403,9.104150781516395e-09,1.8053638445544957,9.461547236750349e-14,0.8749132795638344,0.026068531357569227,2.999265241521488e-08
47,WASP-46,-0.2878070434868095,6.501853021088167e-09,1.4312223970561422,5.196697387524374e-15,61.29646129460626,0.00017070404067501103,0.0
48,TrES-4,-0.0011746385512985558,1.1225151560160929e-07,3.553922085733553,4.1950718421095807e-13,-0.3763776459836381,0.05987412292347912,0.9379964307861178
49,HAT-P-13,-0.15912645321310664,2.8756110212866196e-09,2.924331435049772,1.7332034826975855e-13,-1041.0039432369233,0.007194470568990322,1.0
50,HAT-P-25,0.003021836087789409,2.138553951521688e-08,3.6528142503168537,1.8537371259701022e-13,-0.30051431968947445,0.03455823613262023,0.9470123725534183
51,HAT-P-54,0.0035351603345533033,8.383560620795079e-09,3.799859430970837,5.413091685087852e-13,6.2497662308995166,0.13300824705562053,3.957730910149888e-66
52,WASP-4,0.0018156032241823477,2.1505527096772747e-09,1.3382313629597324,5.232890328062122e-16,-0.002355829639084323,1.1442488794723208e-05,0.7569233030776065
53,XO-2,0.0009027878560933018,7.4179692082096046e-09,2.615858783389877,1.096464365071207e-14,0.09097195632933887,0.0010083084739942532,0.0020856457342255884
54,HAT-P-37,-0.10038903520162606,6.657965933956278e-09,2.8009720974512504,4.415333640965218e-14,312.38988410587115,0.005256922654554163,0.0
55,Qatar-2,0.0006041264731476861,6.692216779923595e-09,1.3371167016162187,3.165846893431239e-15,-0.00508286020947362,0.00012771092033857812,0.6735632224647833
56,HAT-P-6,-0.39186919649323404,8.685909279562064e-08,3.8562459364957387,9.811642700157508e-14,147.14449768122685,0.020760442489862585,0.0
57,WASP-33,-0.020153845554767236,4.182677016374474e-09,1.2204334128986816,4.072394148305874e-15,-14.793010362621922,5.6558662066683144e-05,1.0
58,WASP-50,-0.0031664690140107248,1.3712230702606737e-08,1.9550931616161675,1.3586299562456223e-14,0.03366559908548834,0.001129642813679134,0.1582564542323826
59,XO-6,0.003930861598872747,2.0218881944975872e-08,3.764990579083586,1.1702531164460463e-12,-0.8116268914766658,0.19657820244696772,0.966418383052221
60,KPS-1,-0.0010274969906458485,1.364062397897282e-08,1.7063267625593264,4.4950268517951846e-13,-0.05806515205175478,0.08848651515003701,0.5773813193656451
61,HD189733,0.0006277397437478876,1.1816984021392533e-09,2.218575626904198,1.790083441995326e-15,0.052300643185793916,8.188850369719459e-05,3.744579438307751e-09
62,HAT-P-23,-0.0001281084399689655,5.5580140882077185e-09,1.2128862044805235,9.165640064658009e-15,-0.0232224925014527,7.594801762937462e-05,0.9961473092980673
63,WASP-2,-0.0027116261940843653,4.766992435588775e-09,2.1522222844602936,3.459355289114304e-15,-0.024633001215191054,0.00025553420561789757,0.9383373616676972
64,HAT-P-19,-0.001089821157375792,7.454999706485534e-09,4.008784021961972,4.915798501905539e-14,-0.30111001074578103,0.011789764368548524,0.9972241340508123
65,HAT-P-8,-0.005794195761442245,4.725133905172359e-08,3.0763454761186835,1.2804079810827686e-12,-0.27532663818758857,0.05995100894470926,0.8695943132142998
66,WASP-19,-0.0008249476015035212,4.564683747804579e-09,0.7888389573983151,4.940377054777403e-15,-0.005440540296625139,1.1283096816139014e-05,0.9473489434526157
67,TrES-2,-0.01845447029693233,2.998705262535622e-09,2.4724388376148148,2.394083023901869e-15,-37.928633008696025,0.0003584906975679934,1.0
