,transit_count,transit_spacing,measurement_unc,planet,prob_dP_dE_less_than_0,decay_rate_variance,log_decay_rate_variance,marker_size
4538,209,26.0,51.53630879948287,NA,,3.978828045024013e-06,-5.400244829567084,1.0
4539,209,26.0,58.90445875569993,NA,,5.197863742169992e-06,-5.284175109367386,1.0
4540,209,26.0,67.3260336669042,NA,,6.790388319483762e-06,-5.168105389167687,1.0
4541,209,26.0,76.9516417783653,NA,,8.870831521668893e-06,-5.052035668967989,1.0
4542,209,26.0,87.95342380753897,NA,,1.158868214650469e-05,-4.935965948768286,1.0
4543,209,26.0,100.52813144323909,NA,,1.5139229458328181e-05,-4.8198962285685845,1.0
4544,209,26.0,114.90064597806963,NA,,1.9777595562152756e-05,-4.703826508368886,1.0
4545,209,26.0,131.328,NA,,2.5837067024894634e-05,-4.587756788169188,1.0
4546,233,2.5,59.61599999999999,TrES-5,0.9986742075379311,0.036127964112759814,-1.44215651115565,9.986742075379311
4547,257,3.5,67.392,WASP-12,1.0,0.007354167276842611,-2.1334664959543095,10.0
4548,270,2.0,76.032,TrES-2,0.6617077424864223,0.06856783826865445,-1.1638795422772785,6.617077424864223
4549,273,1.0,10.367999999999999,NA,,0.019301999715960718,-1.7143976951052629,1.0
4550,273,1.0,11.850313742012215,NA,,0.02521575784116658,-1.5983279749055643,1.0
4551,273,1.0,13.544553991524262,NA,,0.03294137668951422,-1.4822582547058627,1.0
4552,273,1.0,15.48101989729806,NA,,0.04303397522436977,-1.3661885345061613,1.0
4553,273,1.0,17.694342479679374,NA,,0.05621875008645734,-1.2501188143064645,1.0
4554,273,1.0,20.22410395860484,NA,,0.07344308409356033,-1.1340490941067631,1.0
4555,273,1.0,23.11554562698096,NA,,0.09594461977327165,-1.017979373907065,1.0
4556,273,1.0,26.420376928773408,NA,,0.12534018930510682,-0.9019096537073642,1.0
4557,273,1.0,30.19770021105189,NA,,0.1637419908710344,-0.7858399335076661,1.0
4558,273,1.0,34.51506768790446,NA,,0.21390935918522444,-0.6697702133079645,1.0
4559,273,1.0,39.4496895185625,NA,,0.27944703556873424,-0.5537004931082635,1.0
4560,273,1.0,45.08981460454634,NA,,0.36506418412732444,-0.4376307729085662,1.0
4561,273,1.0,51.53630879948287,NA,,0.47691276545951733,-0.3215610527088686,1.0
4562,273,1.0,58.90445875569993,NA,,0.6230295815020865,-0.20549133250916518,1.0
4563,273,1.0,67.3260336669042,NA,,0.8139137543375509,-0.08942161230946791,1.0
4564,273,1.0,76.9516417783653,NA,,1.0632811333014307,0.026648107890234314,1.0
4565,273,1.0,87.95342380753897,NA,,1.3890498377864922,0.14271782808993463,1.0
4566,273,1.0,100.52813144323909,NA,,1.814627751236215,0.2587875482896325,1.0
4567,273,1.0,114.90064597806963,NA,,2.3705944783118325,0.37485726848933065,1.0
4568,273,1.0,131.328,NA,,3.0968986210941374,0.490926988689032,1.0
4569,273,2.0,10.367999999999999,NA,,0.0012063749822475449,-2.9185176777611876,1.0
4570,273,2.0,11.850313742012215,NA,,0.0015759848650729112,-2.802447957561489,1.0
4571,273,2.0,13.544553991524262,NA,,0.0020588360430946386,-2.6863782373617875,1.0
4572,273,2.0,15.48101989729806,NA,,0.0026896234515231105,-2.5703085171620863,1.0
4573,273,2.0,17.694342479679374,NA,,0.0035136718804035837,-2.454238796962389,1.0
4574,273,2.0,20.22410395860484,NA,,0.004590192755847521,-2.338169076762688,1.0
4575,273,2.0,23.11554562698096,NA,,0.005996538735829478,-2.22209935656299,1.0
4576,273,2.0,26.420376928773408,NA,,0.007833761831569176,-2.106029636363289,1.0
4577,273,2.0,30.19770021105189,NA,,0.01023387442943965,-1.9899599161635908,1.0
4578,273,2.0,34.51506768790446,NA,,0.013369334949076528,-1.8738901959638894,1.0
4579,273,2.0,39.4496895185625,NA,,0.01746543972304589,-1.7578204757641884,1.0
4580,273,2.0,45.08981460454634,NA,,0.022816511507957778,-1.641750755564491,1.0
4581,273,2.0,51.53630879948287,NA,,0.029807047841219833,-1.5256810353647934,1.0
4582,273,2.0,58.90445875569993,NA,,0.03893934884388041,-1.40961131516509,1.0
4583,273,2.0,67.3260336669042,NA,,0.05086960964609693,-1.2935415949653928,1.0
4584,273,2.0,76.9516417783653,NA,,0.06645507083133942,-1.1774718747656905,1.0
4585,273,2.0,87.95342380753897,NA,,0.08681561486165576,-1.0614021545659902,1.0
4586,273,2.0,100.52813144323909,NA,,0.11341423445226344,-0.9453324343662923,1.0
4587,273,2.0,114.90064597806963,NA,,0.14816215489448953,-0.8292627141665941,1.0
4588,273,2.0,131.328,NA,,0.1935561638183836,-0.7131929939668928,1.0
4589,273,3.0,10.367999999999999,NA,,0.00023829629278963857,-3.6228827139839126,1.0
4590,273,3.0,11.850313742012215,NA,,0.00031130565236008175,-3.506812993784213,1.0
4591,273,3.0,13.544553991524262,NA,,0.0004066836628335081,-3.3907432735845133,1.0
4592,273,3.0,15.48101989729806,NA,,0.000531283644745303,-3.2746735533848135,1.0
4593,273,3.0,17.694342479679374,NA,,0.0006940586430426842,-3.1586038331851136,1.0
4594,273,3.0,20.22410395860484,NA,,0.0009067047418958015,-3.042534112985415,1.0
4595,273,3.0,23.11554562698096,NA,,0.0011845014786823745,-2.9264643927857117,1.0
4596,273,3.0,26.420376928773408,NA,,0.0015474097445074924,-2.8103946725860136,1.0
4597,273,3.0,30.19770021105189,NA,,0.002021506060136231,-2.694324952386315,1.0
4598,273,3.0,34.51506768790446,NA,,0.0026408562862373437,-2.5782552321866135,1.0
4599,273,3.0,39.4496895185625,NA,,0.003449963402083138,-2.4621855119869136,1.0
4600,273,3.0,45.08981460454634,NA,,0.004506965236139791,-2.3461157917872177,1.0
4601,273,3.0,51.53630879948287,NA,,0.005887811919253343,-2.230046071587515,1.0
4602,273,3.0,58.90445875569993,NA,,0.0076917232284207685,-2.113976351387818,1.0
4603,273,3.0,67.3260336669042,NA,,0.010048317954784627,-1.9979066311881155,1.0
4604,273,3.0,76.9516417783653,NA,,0.013126927571622503,-1.8818369109884188,1.0
4605,273,3.0,87.95342380753897,NA,,0.017148763429462872,-1.765767190788715,1.0
4606,273,3.0,100.52813144323909,NA,,0.02240281174365694,-1.649697470589018,1.0
4607,273,3.0,114.90064597806963,NA,,0.029266598497677074,-1.5336277503893172,1.0
4608,273,3.0,131.328,NA,,0.03823331630980417,-1.4175580301896178,1.0
4609,273,4.0,10.367999999999999,NA,,7.539843639047155e-05,-4.122637660417112,1.0
4610,273,4.0,11.850313742012215,NA,,9.849905406705695e-05,-4.006567940217414,1.0
4611,273,4.0,13.544553991524262,NA,,0.00012867725269341491,-3.8904982200177125,1.0
4612,273,4.0,15.48101989729806,NA,,0.0001681014657201944,-3.774428499818011,1.0
4613,273,4.0,17.694342479679374,NA,,0.00021960449252522398,-3.658358779618314,1.0
