,planet,num_transits,mu,sd,prob_decay
60,hatp51,10,-1.8427978119443411,0.901545386425862,0.9774450599772533
61,hatp52,34,0.3336410827611263,0.2739138354528266,0.10883743231186475
62,hatp53,36,-0.22305442612924226,0.11207355754430388,0.976026010713062
63,hatp54,86,3.430957175961546,0.3016129706565408,9.746124880923194e-19
64,hatp55,32,0.7469587572465377,0.9778537718319266,0.21749281738894072
65,hatp56,61,0.8839181163002904,0.3329102330255038,0.004540267706812915
66,hatp57,7,0.033265345678013016,0.7304123937621496,0.4792652464352919
67,hatp58,6,-151.07659210669578,356.77888318444747,0.6841402985302152
68,hatp59,67,-0.45946102602510547,6.7341416555712135,0.5275530938399253
69,hatp6,43,-0.16428221982761837,0.21019856003498613,0.7860582876443623
70,hatp60,5,855.3182100874296,704.9282056995812,0.09390965775273204
71,hatp64,12,7.174813293879297,6.746820026782074,0.13334027237176002
72,hatp65,6,0.8364909277239168,1.0767522459856331,0.19428400540596227
73,hatp66,11,1.798516753124679,4.581321506815069,0.33633583651193966
74,hatp67,11,12.784661547003399,16.237711062815777,0.2026620456469797
75,hatp68,22,1.679578498679487,2.692913194137277,0.2595657936814938
76,hatp69,9,72.4565933523266,234.35517375744206,0.3669879516760033
77,hatp7,650,0.1099734191710732,0.015471178914212104,1.6020974570934318e-12
78,hatp70,17,-5.6934068211887645,47.15684674565049,0.5505443689690895
79,hatp8,40,-0.3907739412052891,0.17271044150921175,0.9871551108171728
80,hatp9,23,0.16401831572904454,0.3177480929596984,0.2965324449090896
81,hats1,17,0.03742266017066763,0.4270712407954487,0.46338375644378493
82,hats11,8,-0.3675390615850082,2.4503165140665186,0.5666022923337092
83,hats13,18,0.7504495968639047,0.8230337727658388,0.17314999169595202
84,hats14,18,1.7884397067273614,1.207397045829568,0.06678712101081725
85,hats16,19,-1.3335899041053687,1.8413713058587196,0.7738264115985343
86,hats17,6,71.23540234481122,113.23039616252782,0.24044068138208136
87,hats18,52,-0.02559429468360291,0.03955210709054061,0.7442506881102358
88,hats2,42,-0.015123569596638272,0.06687871561879494,0.5912361083689328
89,hats22,13,0.9058120269846803,1.9220643095119991,0.3093294479257498
90,hats23,11,-107.35144393254991,166.5704219463014,0.7561564678550636
91,hats24,50,0.025782428991734965,0.08060349272002156,0.37246099854834747
92,hats25,12,0.0845516041180481,2.6308547657460037,0.48624720175525293
93,hats26,19,1.388830081337776,2.5469105541014287,0.28552734516229716
94,hats27,13,0.4268700592997726,7.184869333287739,0.47458979997831435
95,hats28,9,-124.89348118252808,162.97585457869843,0.7962720132503321
96,hats29,5,1.285154408491132,9.998293812793502,0.4400368430245266
97,hats3,10,1.1444929100423373,0.9308680318178023,0.09963476950885727
98,hats30,33,0.3931923203022667,0.6471411583232944,0.2670843296257813
99,hats31,4,48.87346042745208,40.20684586611145,0.08868901681904653
100,hats32,15,0.877964926359286,2.16095231480015,0.3343737237864757
101,hats33,28,0.1932114116696426,0.35986425050445925,0.290312954281014
102,hats34,35,0.03379039128500412,0.5504171728419306,0.47489903190253735
103,hats35,22,0.09428353777697915,0.26296226627229163,0.3549991749028956
104,hats38,10,-20.842486827611612,16.129984682615568,0.9095438810522932
105,hats39,5,-485.05840015260816,527.8076667354218,0.8483225890194848
106,hats4,24,0.2705888377360702,0.3824231976137108,0.23293846860607248
107,hats40,7,-204.14910481442848,707.5488192236361,0.6262136265951999
108,hats41,17,-5.359243186825649,5.352683575832555,0.8493099678905407
