event_type,time,uncertainty,epoch_number,ref
tra,2457776.68869,0.00029,1348,P17
tra,2457781.05418,0.00043,1352,P20
tra,2457781.05566,0.00036,1352,P20
tra,2457786.51210,0.00026,1357,M18
tra,2457788.69464,0.00048,1359,P17
tra,2457800.69978,0.00032,1370,P17
tra,2457808.34020,0.00040,1377,O19
tra,2457809.43190,0.00018,1378,M18
tra,2457810.52327,0.00021,1379,M18
occ,2457830.71389,0.00110,1397,YE19
tra,2458026.62368,0.00056,1577,M18
tra,2458050.63519,0.00023,1599,M18
tra,2458060.45870,0.00030,1608,O19
tra,2458073.55509,0.00022,1620,M18
tra,2458074.64651,0.00034,1621,M18
tra,2458077.92107,0.00028,1624,Y19
tra,2458123.76011,0.00027,1666,YE19
tra,2458124.85183,0.00035,1667,YE19
tra,2458132.49121,0.00031,1674,M18
tra,2458134.67471,0.00032,1676,YE19
tra,2458136.85760,0.00033,1678,YE19
tra,2458155.41040,0.00050,1695,O19
tra,2458155.41152,0.00031,1695,M18
tra,2458156.50267,0.00032,1696,M18
tra,2458159.77773,0.00091,1699,YE19
tra,2458161.95991,0.00035,1701,P20
tra,2458161.95964,0.00026,1701,P20
tra,2458163.05125,0.00021,1702,P20
tra,2458163.05089,0.00034,1702,P20
tra,2458166.32575,0.00034,1705,M18
tra,2458178.33104,0.00038,1716,M18
tra,2458411.89495,0.00040,1930,YE19
tra,2458471.92257,0.00026,1985,YE19
occ,2458485.56424,0.00140,1997,V19
tra,2458494.84270,0.00030,2006,YE19
occ,2458499.75572,0.00077,2010,YE19
occ,2458504.11988,0.00087,2014,YE19
tra,2458506.84758,0.00044,2017,YE19
occ,2458508.48459,0.00091,2018,YE19
occ,2458517.21641,0.00074,2026,YE19
tra,2458843.00493,0.00054,2325,ThisPaper
tra,2458844.09660,0.00052,2326,ThisPaper
tra,2458845.18785,0.00046,2327,ThisPaper
tra,2458846.27971,0.00054,2328,ThisPaper
tra,2458847.37083,0.00051,2329,ThisPaper
tra,2458848.46238,0.00049,2330,ThisPaper
tra,2458849.55308,0.00043,2331,ThisPaper
tra,2458850.64512,0.00053,2332,ThisPaper
tra,2458851.73590,0.00057,2333,ThisPaper
tra,2458852.82819,0.00038,2334,ThisPaper
tra,2458853.91924,0.00047,2335,ThisPaper
tra,2458858.28450,0.00061,2339,ThisPaper
tra,2458859.37732,0.00055,2340,ThisPaper
tra,2458860.46816,0.00044,2341,ThisPaper
tra,2458861.55803,0.00049,2342,ThisPaper
tra,2458862.65047,0.00057,2343,ThisPaper
tra,2458863.74203,0.00060,2344,ThisPaper
tra,2458864.83395,0.00044,2345,ThisPaper
tra,2458865.92421,0.00050,2346,ThisPaper
tra,2458867.01609,0.00051,2347,ThisPaper
tra,2458868.10763,0.00046,2348,ThisPaper
occ,2458843.55034,0.00088,2325,ThisPaper
