planet  transit_time 	error      	source         	ID             
EPIC211945201b 2459517.375    	0.0037         	space          	EPIC211945201b_409_2021-10-29_TESS
EPIC211945201b 2459536.8677   	0.0035         	space          	EPIC211945201b_410_2021-11-18_TESS
EPIC211945201b 2459556.3572   	0.0021         	space          	EPIC211945201b_411_2021-12-07_TESS
EPIC211945201b 2459575.8535   	0.0022         	space          	EPIC211945201b_412_2021-12-27_TESS
EPIC246851721b 2457828.02788  	0.00045        	space          	EPIC246851721b_1016_2017-03-15_K2
EPIC246851721b 2457852.75048  	0.00045        	space          	EPIC246851721b_1020_2017-04-09_K2
EPIC246851721b 2457865.1106   	0.00048        	space          	EPIC246851721b_1022_2017-04-21_K2
EPIC246851721b 2457883.64934  	0.0007         	space          	EPIC246851721b_1025_2017-05-10_K2
EPIC246851721b 2459175.3271   	0.0013         	space          	EPIC246851721b_1234_2020-11-21_TESS
EPIC246851721b 2459181.5063   	0.0014         	space          	EPIC246851721b_1235_2020-11-28_TESS
EPIC246851721b 2459187.6873   	0.0016         	space          	EPIC246851721b_1236_2020-12-04_TESS
EPIC246851721b 2459193.8702   	0.0013         	space          	EPIC246851721b_1237_2020-12-10_TESS
EPIC246851721b 2459478.1586   	0.0011         	space          	EPIC246851721b_1283_2021-09-20_TESS
EPIC246851721b 2459484.3402   	0.0012         	space          	EPIC246851721b_1284_2021-09-26_TESS
EPIC246851721b 2459490.5216   	0.0011         	space          	EPIC246851721b_1285_2021-10-03_TESS
EPIC246851721b 2459496.7006   	0.0013         	space          	EPIC246851721b_1286_2021-10-09_TESS
EPIC246851721b 2459502.878    	0.0013         	space          	EPIC246851721b_1287_2021-10-15_TESS
EPIC246851721b 2459509.0637   	0.0016         	space          	EPIC246851721b_1288_2021-10-21_TESS
EPIC246851721b 2459515.2413   	0.0008         	exoclock       	EPIC246851721b_1289_2021-10-27_Deokheung_Optical_Astronomy_Observatory_R_Taewoo_Kim
EPIC246851721b 2459521.4221   	0.0012         	space          	EPIC246851721b_1290_2021-11-02_TESS
EPIC246851721b 2459546.1441   	0.0009         	exoclock       	EPIC246851721b_1294_2021-11-27_Deokheung_Optical_Astronomy_Observatory_R_Taewoo_Kim
G9-40b         2458095.55765  	0.00052        	space          	G9-40b_1140_2017-12-08_K2
G9-40b         2458107.05006  	0.00084        	space          	G9-40b_1142_2017-12-19_K2
G9-40b         2458130.03308  	0.00036        	space          	G9-40b_1146_2018-01-11_K2
G9-40b         2458135.77924  	0.00095        	space          	G9-40b_1147_2018-01-17_K2
G9-40b         2458141.52453  	0.00059        	space          	G9-40b_1148_2018-01-23_K2
G9-40b         2458158.76253  	0.0004         	space          	G9-40b_1151_2018-02-09_K2
G9-40b         2458164.50887  	0.0006         	space          	G9-40b_1152_2018-02-15_K2
G9-40b         2458170.25421  	0.00066        	space          	G9-40b_1153_2018-02-20_K2
G9-40b         2458497.77747  	0.00033        	literature     	2020AJ....159..100S
G9-40b         2459503.3202   	0.0095         	space          	G9-40b_1385_2021-10-15_TESS
G9-40b         2459514.8198   	0.0035         	space          	G9-40b_1387_2021-10-27_TESS
G9-40b         2459520.5661   	0.0018         	space          	G9-40b_1388_2021-11-02_TESS
